TEMA,asignatura
Alteraciones en el metabolismo del calcio + Taller - mecanismos potenciales para intervenir en la osteoporosis y el metabolismo fosfocálcico.,Asignatura 7
Prevención primaria y secundaria Fiebre Reumática,Asignatura 10
Farmacodiamia: Analgésia ,Asignatura 7
Endocitosis,Asignatura 1
Cáncer de Piel,Asignatura 1
Paciente dificil,Asignatura 10
Introducción a la farmacodinamia,Asignatura 1
Intervención,Asignatura 10
Perfusión entero-hepatica,Asignatura 1
Chequeo 2,Asignatura 9
Sistema digestivo,Asignatura 1
Señalización eléctrica. Generalidades de neurofisiología,Asignatura 7
Anatomia topografica del cuello y región supraclavicular,Asignatura 2
Casos relevantes en patología renal,Asignatura 6
C-SM Alteraciones en el proceso de diferenciacion gonadal y genital,Asignatura 6
Intervenciones no farmacológicas en adultos mayores (Centro de simulación),Asignatura 10
Farmacología y terapéutica en hipertensión arterial,Asignatura 10
Biomoléculas en señalización,Asignatura 1
Cineforo,Asignatura 10
Fisiología del SNA,Asignatura 1
1a Evaluación sustentación integradoras grupal,Asignatura 5
Introducción a la psicopatología -,Asignatura 9
Prácticas 3 y 4 de fisiología cardiovascular,Asignatura 4
Glándulas salivares y páncreas,Asignatura 5
3a Evaluación sustentación integradoras grupal,Asignatura 7
Neumonía Adquirida en la comunidad - Pacientes pediátricos - Situación integradora ,Asignatura 10
PH y soluciones,Asignatura 1
Inteligencia,Asignatura 9
Mantenimiento de la salud - Introducción ,Asignatura 10
EVALUACIÓN 1 T-P ,Asignatura 6
Examen habilidades clínicas,Asignatura 7
Primer examen parcial - Primera correlación clínica,Asignatura 10
Segunda evaluación,Asignatura 4
18. Obesidad,Asignatura 4
Taller de dolor toracico. Grupo Jueves,Asignatura 2
Segunda Evaluación Parcial,Asignatura 7
Supletorio Eval 2 SYM2 y S. Escrita integradoras M2,Asignatura 7
Imagenología - extremidad superior,Asignatura 9
Anatomía del intestino delgado y grueso,Asignatura 7
EVALUACION PRÁCTICA,Asignatura 7
Chequeo semanal,Asignatura 9
Tutoria 3 Semiologia Abdomen,Asignatura 10
Tutorías Clínica Grupo Viernes,Asignatura 2
Protocolos en investigación cualitativa,Asignatura 9
Tutoria 3 Semiologia Abdomen,Asignatura 10
Semiologia Ruidos Respiratorios /Rx tórax/ Sesión Ekg 3.,Asignatura 10
Anfiteatro de Dorso,Asignatura 7
Debilidad e ictericia / Cirrosis ,Asignatura 5
Tutoria 1 Semiologia General/Cabeza y Cuello,Asignatura 10
13. Cardiopatía congénita,Asignatura 4
Presentación estudiantes - tutoria 1,Asignatura 10
Evaluación del crecimiento y el desarrollo puberal,Asignatura 7
Semiologia cardiaca CSC. Grupo Viernes,Asignatura 2
Taller de miembro superior 1,Asignatura 9
Taller de entrevista clínica. Grupo viernes,Asignatura 2
Embriología osteomuscular 2 Y 3,Asignatura 7
Receptores periféricos Histología,Asignatura 7
C-SM Organización microscópica del eje hipotálamo-hipófisis-gonadal,Asignatura 6
Semiologia cardiaca CSC. Grupo Jueves ,Asignatura 2
Segunda evaluación teórica fundamentos de la clinica,Asignatura 4
Histología funcional desde boca hasta estómago,Asignatura 4
Reunión con tutores,Asignatura 3
Diferencias entre procariotes y eucariotes,Asignatura 1
Anfiteatro encéfalo y medula,Asignatura 7
Métodos mixtos,Asignatura 9
La etnia y la raza: Su incidencia en la vulnerabilidad de las poblaciones indígenas y afrodescendientes en Colombia,Asignatura 9
"Lab bioq, Fisio, Microscopia",Asignatura 1
Tutoria Psiquiatria,Asignatura 10
1. Contaminación,Asignatua 4
"Taller laboratorio de organografía, histología e histopatología del tejido nervios",Asignatura 7
1a Evaluación sustentación integradoras grupal,Asignatura 5
Prácticas 1 y 2 de fisiología cardiovascular,Asignatura 1
Tutoria 3 Semiologia Abdomen,Asignatura 10
Taller de entrevista clínica. Grupo jueves,Asignatura 2
Ingresos economicos y estatus social,Asignatura 1
Vulnerabilidad de los estudiantes de medicina,Asignatura 9
Cuando el anciano cae,Asignatura 7
Oftalmoscopia/Otoscopia / Sesión Ekg 1,Asignatura 10
Tutoria 4 Semiologia Neurologica/Musculo-esqueletico,Asignatura 10
Intervención en sistema nervioso autómono. Modificaciones de la función  cardiovascular,Asignatura 1
actividad integradora de cierre,Asignatura 9
Tutoria 4 Semiologia Neurologica/Musculo-esqueletico,Asignatura 10
Tutoria 2 Semiologia Cardiovascular/Respiratorio,Asignatura 10
Anfiteatro de dorso,Asignatura 9
Estructuras microscópica hígado y vesícula biliar,Asignatura 5
"Unidad neurovascular, perfusión y fisiología del LCR. ",Asignatura 7
Correlación imágenes DX abdomen y pelvis ,Asignatura 7
Caso 15. Inmunosupresión - HIV,Asignatura 10
Cronobiología,Asignatura 9
Anfiteatro encéfalo y medula,Asignatura 7
Tutoria 1 Semiologia General/Cabeza y Cuello,Asignatura 10
Esqueleto fibroso y valvulas cardiacas,Asignatura 2
37. Anemias carenciales (ferropénica y megaloblástica) y diagnóstico por el laboratorio,Asignatura 10
Semiología y psicopatología del sueño y el dormir,Asignatura 9
Miastenia gravis (Inclusión social discapacidad),Asignatura 1
Taller correlación anatomo-semiologica radiológica de torax Grupo Viernes,Asignatura 2
Endocinología e Inmunología,Asignatura 1
Introducción (Antecedentes y Justificación).,Asignatura 3
Introducción Morfología II Sistema cardiovascular y su contexto,Asignatura 3
Tutoria 3 Semiologia Abdomen/,Asignatura 10
Tutoria 3 Semiologia Abdomen,Asignatura 10
Anfiteatro pelvis osea & Cond. Inguinal ,Asignatura 7
Cuando el anciano cae,Asignatura 7
Tutoria 4 Semiologia Neurologica/Musculo-esqueletico,Asignatura 10
Herramientas de Gestión Clínica,Asignatura 10
69. Inmunodeficiencias,Asignatura 10
Primera Evaluación Parcial,Asignatura 7
Estructuras microscópicas riñón y vías urinarias 1,Asignatura 6
Mecanismos para reemplazar la función del páncreas endocrino,Asignatura 4
Tutoria 2 Semiologia Cardiovascular/Respiratorio,Asignatura 10
Simposio Bloque Naranja,Asignatura 2
Búsquedas de la literatura,Asignatura 10
Prácticas 3 y 4 de fisiología cardiovascular,Asignatura 4
Columna 3 - NUCA Y DORSO,Asignatura 9
Primera evaluación parte grupal Asma,Asignatura 1
Retos farmacológicos en osteoporosis,Asignatura 10
Taller anfiteatro de oido,Asignatura 7
Cuidado de la casa común,Asignatura 2
Diabetes tipo 1,Asignatura 4
Anfiteatro Sistemas reproductores  ,Asignatura 7
Sistema reproductor femenino (SYM2 y FPC II),Asignatura 7
Identificando y comprendiendo el problema,Asignatura 9
Ingeniería de PROMPTs,Asignatura 1
Cardiopatías congénitas  o adquirida. Usando las piezas de patología,Asignatura 4
Repaso histología,Asignatura 9
Actividad integradora- miembro inferior - SN autonomo,Asignatura 9
PRMBE - AINES,Asignatura 10
Traslado de pacientes ,Asignatura 1
Obesidad,Asignatura 4
Expresando la Medicina III Grupo 1 Comunicación sin daño / Grupo 2 Compasión y vulnerabilidad,Asignatura 9
Taller de miembro superior 1,Asignatura 9
Ética médica y riesgo,Asignatura 7
Seguimiento de tutores,Asignatura 3
Taller de columna ,Asignatura 9
Papel del tejido adiposo en la regulacion del metabolismo,Asignatura 4
Examen final,Asignatura 10
Actividad integradora - Sindrome medular,Asignatura 7
Miembro inferior 4,Asignatura 9
Integración de los conceptos farmacocinéticos y farmacodinámicos de antimicrobianos a la clínica,Asignatura 10
Taller Simulacro Práctico Anatomia e Histología,Asignatura 2
Tratamiento farmacológico en infección respiratoria aguda alta,Asignatura 10
Teorías del origen de la vida - La noción de vida,Asignatura 1
Semiologia Ruidos Respiratorios /Rx tórax/ Sesión Ekg 3.,Asignatura 10
Anfiteatro pulmones/Laboratorio  de vasos-  Laboratorio histología de vasos grupos 2,Asignatura 1
Sistema nervioso autonomo,Asignatura 1
Sistema urinario 2,Asignatura 6
Análisis de vulnerablidad en poblaciones,Asignatura 9
Taller de anatomia topografica del cuello. Grupo Viernes,Asignatura 2
Tutoria 3 Semiologia Abdomen,Asignatura 10
Taller de Imagenología ,Asignatura 9
Evaluación del semestre/ Espacio de trabajo videos,Asignatura 9
actividad integradora -endocrino,Asignatura 9
45. Infecciones gástricas - Helmintiasis,Asignatura 10
"Generalidades S. Gastrointestinal, boca, faringe, esófago y estómago",Asignatura 4
Patologia infecciones pulmonares (-Patología y neumo),Asignatura 1
Taller de miembro inferior 3,Asignatura 9
"Casos clínicos: uroanálisis en IVU, síndrome nefrótico, glomerulopatías, hematuria",Asignatura 7
Tutoria 1 Semiologia General/Cabeza y Cuello,Asignatura 10
Seguimiento de tutores,Asignatura 3
Diafragma,Asignatura 1
Chequeo semanal,Asignatura 7
Acople excitación contracción,Asignatura 1
"Adaptación, lesion y muerte celular",Asignatua 4
Clasificación internacional de enzimas,Asignatura 1
Foroteatro,Asignatura 3
C-SM Funciones hepáticas distintas a las digestivas 1,Asignatura 5
Caso 01. Fiebre origen desconocido,Asignatura 10
43. Laboratorio Gastro - EDA - Grupo B,Asignatura 10
Búsquedas de la literatura,Asignatura 10
1a Evaluación sustentación integradoras grupal,Asignatura 5
Presentación Taller de vulnerabilidad,Asignatura 9
Prácticas 3 y 4 de fisiología cardiovascular,Asignatura 4
"ESM-EVALUACIÓN FINAL SYM II 
(9-12m) PC002-S201- PC002-S203",Asignatura 7
TBC,Asignatua 4
actividad integradora - Psicosis,Asignatura 9
Estudios económicos,Asignatura 10
EXAMEN ORAL,Asignatura 10
Opérculo torácico,Asignatua 4
Actividad integradora - Movimientos anormales,Asignatura 9
Introducción (Antecedentes y Justificación).,Asignatura 3
Metabolismo del colesterol y derivados,Asignatura 4
Taller farmacocinética/ Absorción,Asignatura 5
Videos TED,Asignatura 1
Transducción,Asignatura 7
"Psicopatología Juicio, raciocinio, volición, toma de decisiones / Introspección y prospección",Asignatura 9
Técnica de semiología abdominal y urgencias quirúrgicas,Asignatura 7
Taller genética,Asignatura 1
50. Laboratorio Uroanálisis - Grupo B,Asignatura 10
Biomoléculas,Asignatura 1
Tutorías Clínica Grupo Jueves,Asignatura 2
Escenarios Simulados con Debriefing,Asignatura 10
C-SM Motilidad del tubo digestivo (Principios generales y esófago),Asignatura 4
Tutoria 2 Semiologia Cardiovascular/Respiratorio,Asignatura 10
Semiología Gastrointestinal,Asignatura 10
Primera evaluación parte grupal Asma,Asignatura 1
Introducción AIEPI,Asignatura 10
Expresando la Medicina II Grupo 1 -Medicina Narrativa / Grupo 2 Gratitud,Asignatura 9
Anfiteatro Sistema Urinario,Asignatura 7
Anfiteatro encéfalo y medula,Asignatura 7
Examen final oral,Asignatura 3
 Farmacología: Mecanismos adicionales  para intervenir la función  cardiovascular ,Asignatura 4
Dolor torácico no coronario,Asignatura 1
Taller de miembro superior 2 G1,Asignatura 7
Endocinología e Inmunología,Asignatura 1
Taller sondas vesicales,Asignatura 7
Simposio bloque naranja,Asignatura 4
Bioética sesión II,Asignatura 3
Tutoria 4 Semiologia Neurologica/Musculo-esqueletico,Asignatura 10
Prácticas libres Estudiantes,Asignatura 10
Prácticas 3 y 4 de fisiología cardiovascular,Asignatura 4
Sesión Ekg 4. /ejercicios integradores cardio respiratorio/ Rx tórax,Asignatura 10
Abordaje Integrado del Cáncer de Próstata,Asignatura 7
Laboratorio pared venosa,Asignatura 4
Enzimas: Cinética e inhibición enzimática,Asignatura 1
Antibioticoterapia - ITU,Asignatura 10
Tallo y cerebelo,Asignatura 9
Tutoria 3 Semiologia Abdomen,Asignatura 10
2a Evaluación sustentación integradoras grupal,Asignatura 7
C-SM Desórdenes del desarrollo y el crecimiento,Asignatura 7
Semiologia cardiaca CSC. Grupo Jueves ,Asignatura 2
Fundamentos para la exploración del riesgo,Asignatura 7
Introducción a la medicina basada en la evidencia y pregunta PICO,Asignatura 10
Taller correlación anatomo-semiologica radiológica de torax Grupo Jueves,Asignatura 2
Caso 10. Urología - Orquiepididimitis,Asignatura 10
Enfermedad por reflujo gastroesofágico,Asignatura 10
Semiologia cardiaca CSC. Grupo Viernes,Asignatura 2
Endocinología e Inmunología,Asignatura 1
Tutoria 4 Semiologia Neurologica/Musculo-esqueletico,Asignatura 10
Generación del movimiento voluntario/Ajustes al movimiento voluntrio,Asignatura 9
Taller de metabolismo de lipidos(Bioquimica),Asignatura 4
Chequeo semanal,Asignatura 9
chequeo semanal,Asignatura 9
Generalidades de patología tumoral ,Asignatua 4
Teorías del origen de la vida - La noción de vida,Asignatura 1
Repaso FPC III,Asignatura 7
Taller sondas vesicales,Asignatura 7
Tutoria 2 Semiologia Cardiovascular/Respiratorio,Asignatura 10
"05 -08. Generalidades Virus, Bacterias, Parásitos, Hongos",Asignatura 9
Tutoria 3 Semiologia Abdomen,Asignatura 10
Tejido linfoide,Asignatura 1
Espiritualidad y vulnerabilidad,Asignatura 9
7. Silicoantracosis,Asignatura 1
1. Contaminación,Asignatura 4
Introducción a la endocrinología clínica,Asignatura 4
Examen final oral,Asignatura 3
Caso 13. SNC - Meningitis,Asignatura 10
Tutoria 2 Semiologia Cardiovascular/Respiratorio,Asignatura 10
Tutoria 3 Semiologia Abdomen,Asignatura 10
Taller Laboratorio histologia sangre y sus componentes grupo 1 y 2,Asignatura 4
16. Malnutrición,Asignatura 4
EVALI,Asignatua 4
Lavado de Manos,Asignatura 1
Tutoria 4 Semiologia Neurologica/Musculo-esqueletico,Asignatura 10
Repaso Neuroanatomía - histología,Asignatura 9
Semiologia cardiaca CSC. Grupo Viernes,Asignatura 3
Taller Vía de Administración de medicamentos y laboratorio de formas medicamentosas,Asignatura 1
Chequeo 4,Asignatura 9
Taller de anatomía vias de respuesta autónoma,Asignatura 9
Examen final oral,Asignatura 3
Seguimiento de tutores,Asignatura 3
Primer examen parcial,Asignatura 1
Tutoria 3 Semiologia Abdomen,Asignatura 10
"Disfagia /  Trastorno de la motilidad gastrointestinal
",Asignatura 4
Medio ambiente como determinante social,Asignatura 1
"Anfiteatro pared toracica, mediastino, hilio pulmonar  /Laboratorio pulmón",Asignatura 1
Presentación estudiantes - tutoria 1,Asignatura 10
26. Infecciones OTRL - Oculares,Asignatura 10
Sesión Inaugural y presentación del programa,Asignatura 1
Caso 06. Neumología - NAC,Asignatura 10
Chequeo 10,Asignatura 9
Actividad integradora 10 DEMENCIA,Asignatura 9
Observando el riesgo. Estudios observacionales analíticos,Asignatura 7
Fisiología de la tiroides,Asignatua 4
Personas en situación de prostitución,Asignatura 9
Meiosis y Mitosis,Asignatura 1
Taller de miembro superior 3 y 4,Asignatura 9
Oftalmoscopia/Otoscopia / Sesión Ekg 1,Asignatura 10
Simposio Bloque Naranja,Asignatura 2
Deshidratación (EDA)  / Evaluación oral biológicos,Asignatura 1
Seguimiento de tutores,Asignatura 3
Semiologia cardiaca CSC. Grupo Viernes,Asignatura 2
Osteoporosis postmenopáusica,Asignatura 10
Tutorías Clínica Grupo Jueves,Asignatura 2
"Diabetes mellitus - Definición, epidemiología, fisiopatología, diagnóstico, manejo",Asignatura 10
Taller  miembro inferior 1 ,Asignatura 9
Semiologia cardiaca CSC. Grupo Jueves ,Asignatura 2
"Anfiteatro región supraclavicular, superficial de cuello, tiroides y vascular de cuello/ Laboratorio histología de tiroides",Asignatura 1
Anatomía topografica del torax ,Asignatura 2
Obesidad,Asignatura 2
Semiologia cardiaca CSC. Grupo Viernes,Asignatura 2
44. Infecciones Gástricas - EDA y NO EDA,Asignatura 10
Tutoria 2 Semiologia Cardiovascular/Respiratorio,Asignatura 10
Anatomía funcional de intestinos y páncreas,Asignatura 5
Demanda metabólica y perfusión local,Asignatura 1
Sistema Osteomuscular,Asignatura 1
Búsqueda de información de calidad por disciplina ,Asignatura 1
Percepción visual,Asignatura 7
C-SM Digestión y absorción 2,Asignatura 5
Expresando la Medicina III Grupo 1 Comunicación sin daño / Grupo 2 Compasión y vulnerabilidad,Asignatura 9
Técnica de semiología abdominal y urgencias quirúrgicas,Asignatura 7
Expresando la Medicina II Grupo 1 -Medicina Narrativa / Grupo 2 Gratitud,Asignatura 9
"Examen práctico histología, neuroanatomía y PFPC III",Asignatura 7
Síntesis hormonal,Asignatura 4
Taller de anatomia topografica del cuello. Grupo Viernes,Asignatura 2
Taller anfiteatro de oido,Asignatura 7
Comunicación,Asignatura 1
Gestación adolescente en población desplazada,Asignatura 7
Estructura anatómica del hipotálamo,Asignatura 9
Olfación,Asignatura 3
2a Evaluación sustentación integradoras grupal,Asignatura 6
Tutorías Clínica Grupo Viernes,Asignatura 2
Taller de la Circulación entero-hepatica,Asignatura 2
Taller de inflamación,Asignatura 1
Técnica de semiología abdominal y urgencias quirúrgicas,Asignatura 7
chequeo semanal,Asignatura 9
Intervenciones para la modificación de comportamientos de riesgo,Asignatura 7
Taller de caracterización de vulnerabilidad (Primer avance),Asignatura 9
Glicólisis Anaerobia  ,Asignatura 4
Inauguración tercer semestre y SYM2 ,Asignatura 4
Imágenes diagnósticas en el estudio de dolor pélvico,Asignatura 10
11. HTA -IAM,Asignatura 4
Herida Cervical,Asignatura 3
Endocarditis infecciosa-miocarditis-Meek,Asignatura 4
Proteínas de interés biológico,Asignatura 1
Examen final oral,Asignatura 4
Control de la osmolaridad y el volumen de los compartimientos corporales 1,Asignatura 6
Fisiopatología de los trastornos endocrinos más prevalentes en pediatría,Asignatura 7
EXAMEN ORAL,Asignatura 10
Regulación de la fecundidad. Situaciones integradoras.,Asignatura 10
Generalidades de tejido conectivo material y extracelular,Asignatura 1
3. Herida cervical,Asignatua 4
Tutoria 3 Semiologia Abdomen,Asignatura 10
Epitelios de revestimiento,Asignatura 1
Comunicación,Asignatura 1
"Generalidades S. Gastrointestinal, boca, faringe, esófago y estómago",Asignatura 4
 Evaluación final Práctica Sistemas y Metabolismo I,Asignatura 3
Bioética,Asignatura 10
Examen parcial teórico,Asignatura 7
Comunicación,Asignatura 1
Radiología del abdomen y la pelvis,Asignatura 7
Frame by frame: la medicina en video,Asignatura 9
"C-SM Secreción gástrica, su regulación y trastornos de la secreción gastrointestinal",Asignatura 5
Diarrea / malabsorción,Asignatura 5
Primer examen parcial,Asignatura 1
ESCRITURA CREATIVA PERFORMING MEDICINE,Asignatura 10
El trabajo de equipo en salud (Mariana Michelsen),Asignatura 1
Examen final SYM1,Asignatura 4
Tutoria 2 Semiologia Cardiovascular/Respiratorio,Asignatura 10
Semiologia cardiaca CSC. Grupo Viernes,Asignatura 2
"Tipos de variables en investigación cuantitativa, gráficos, tablas y presentación de variables",Asignatura 1
Caso 01. Fiebre origen desconocido,Asignatura 10
Defectos congénitos,Asignatura 1
Energética cardiaca y perfusión coronaria,Asignatura 1
Sistema Osteomuscular,Asignatura 1
Tutoria 3 Semiologia Abdomen,Asignatura 10
24. Laboratorio de Resistencia Antimicrobiana - Grupo A,Asignatura 10
Electrofisiología cardiaca y del músculo liso,Asignatura 1
Organizacion general de la historia clínica ,Asignatura 2
Tutoria 4 Semiologia Neurologica/Musculo-esqueletico,Asignatura 10
Caso 02. Piel - Hipersensibilidad,Asignatura 10
3a Evaluación sustentación integradoras grupal,Asignatura 7
Inteligencia artificial,Asignatura 3
Trastornos de oxigenación y ventilación/Vía aérea,Asignatura 10
Maltrato infantil,Asignatura 10
Sistemas de salud,Asignatura 3
Reunión con tutores,Asignatura 3
Chequeo semanal,Asignatura 7
Intervenciones no farmacológicas en adultos mayores (Centro de simulación),Asignatura 10
Caso 05. Cardiología - Chagas,Asignatura 10
Educación como determinante social,Asignatura 1
Casos clínicos: correlación clínica-endoscópica en las enfermedades digestivas,Asignatura 7
Embriología apendicular,Asignatura 7
Taller de miembro superior 3 y 4,Asignatura 9
ESCRITURA CREATIVA PERFORMING MEDICINE,Asignatura 10
C-SM Síndromes polipósicos y cáncer de colon (SYM2),Asignatura 5
"EVALUACIÓN 2° PERIODO
9-11 am",Asignatura 7
Caso 08. Gastroenterología - EDA,Asignatura 10
SN como controlador,Asignatura 9
EXAMEN ORAL,Asignatura 10
Terapia eléctrica en reanimación/desfibrilación/cardioversión/Marcapaso transcutáneo,Asignatura 10
Hematoquecia /Sangrado de vías digestivas bajas (énfasis en patología neoplásica),Asignatura 5
Neumonia adquirida en la comunidad - Adultos,Asignatura 10
Examen final práctico CMC,Asignatura 9
Estructuras macroscópicas riñón y vías urinarias ,Asignatura 6
Simposio Bloque Naranja,Asignatura 2
Sesión Ekg 4. /ejercicios integradores cardio respiratorio/ Rx tórax,Asignatura 10
Examen habilidades clínicas,Asignatura 7
Tutoria 4 Semiologia Neurologica/Musculo-esqueletico,Asignatura 10
Tutoria 1 Semiologia General/Cabeza y Cuello,Asignatura 10
Semiología - HIV,Asignatura 10
Acople de exitación - función,Asignatura 1
Taller fosa ptarigopalatina-trigemino/ Laboratorio de histología de via aerea superior/ 2 grupos,Asignatua 4
Segundo examen,Asignatura 10
Semiologia cardiaca CSC. Grupo Viernes,Asignatura 2
Proteínas de interés biológico,Asignatura 1
C-SM Regulación neurohumoral de la función gastrointestinal (Incluye descripción de SNE),Asignatura 4
Reunión con tutores,Asignatura 3
Caso 05. Cardiología - Chagas,Asignatura 10
Retículo endoplásmico liso y lisosomas,Asignatura 1
Semiologia cardiaca CSC. Grupo Jueves ,Asignatura 2
Uso seguro de vitaminas y minerales durante la gestación.,Asignatura 7
Sistema nervioso autonomo,Asignatura 1
Repaso Neuroanatomía - histología,Asignatura 7
Trastornos de oxigenación y ventilación/Vía aérea,Asignatura 10
Supletorios evaluaciones semanales y sesiones integradoras (productos)  3° módulo,Asignatura 7
Presentación de protocolos,Asignatura 3
Abordaje Integrado del Cáncer de Próstata,Asignatura 6
Obesidad,Asignatura 4
Taller de anatomia topografica del cuello. Grupo Jueves,Asignatura 2
Laboratorio de fisiología muscular,Asignatura 7
Segunda evaluación teórica SYM1,Asignatura 4
Semana de Reflexion,Asignatura 2
Tutoria 3 Semiologia Abdomen,Asignatura 10
Taller de caracterización de vulnerabilidad (Segundo avance),Asignatura 9
Presentación estudiantes -tutoria 1,Asignatura 10
Taller de exploración psicopatológica 1: Entrevista clínica psiquiátrica ,Asignatura 9
3a Evaluación sustentación integradoras grupal,Asignatura 7
Cólera,Asignatura 1
Edema/ Enfermedad renal diabética,Asignatura 6
"Anfiteatro nariz senos paranasales, trigemino,fosa pterigopalatina y laringe/ Laboratorio de histología de via aerea superior/ 2 grupos",Asignatua 4
Farmacología: Fisiología del pancreas endocrino,Asignatura 4
Endotelio,Asignatura 1
Topografía abdominal y su contenido,Asignatura 7
Tutoria 2 Semiologia Cardiovascular/Respiratorio,Asignatura 10
Anfiteatro Sistemas reproductores  ,Asignatura 7
Planteamiento del problema en una investigación,Asignatura 3
"Anatomía de oído interno vestibular, coclear y vías",Asignatura 7
Chequeo 11,Asignatura 9
Enfermedad por transporte protéico intracelular,Asignatura 1
10. Valvulopatia/Arritmia,Asignatura 4
Oftalmoscopia/Otoscopia / Sesión Ekg 1,Asignatura 10
2a Evaluación sustentación integradoras grupal,Asignatura 7
Principios de medición y recolección de datos,Asignatura 3
Tutoria 4 Semiologia Neurologica/Musculo-esqueletico,Asignatura 10
Tutoria 1 Semiologia General/Cabeza y Cuello,Asignatura 10
73. Inmunología del Cancer,Asignatura 10
"Anfiteatro pared toracica, mediastino, hilio pulmonar  /Laboratorio pulmón",Asignatura 1
Conducta Suicida ,Asignatura 9
C-SM Organización anatómica del estómago ,Asignatura 4
Tutoria 1 Semiologia General/Cabeza y Cuello,Asignatura 10
Laboratorio fisiología sensorial,Asignatura 7
"Regiones, cavidades y espacios",Asignatura 1
Procedimientos SNG /IM Acceso venoso / Especuloscopía/sonda vesical,Asignatura 10
"Genitales ambiguos/ Hiperplasia suprarrenal congénita (Impacto hidroelectrolítico, ácido-base y en el desarrollo sexual)",Asignatura 6
Examen Final,Asignatura 9
Aspectos  neurobioquímicos del sistema hipotalámico,Asignatura 9
Taller Simulacro Práctico Anatomia e Histología,Asignatura 2
Sistema nervioso autonomo,Asignatura 1
Taller generalidades de las biomoleculas,Asignatura 4
Primera evaluación oral parte grupal 6. Enfermedad obstructiva,Asignatura 1
3a Evaluación sustentación integradoras grupal,Asignatura 7
"Laboratorio Simulación farmacocinética 1. Distribución, diferentes vías de administración. Gráficas Cp vs tiempo Dosis única y dosis múltiples. Parámetros farmacocinéticos: Volumen de distribución, vida media. Características de los gráficos.",Asignatura 7
Tutoria 2 Semiologia Cardiovascular/Respiratorio,Asignatura 10
Taller  miembro inferior3,Asignatura 9
Examen final teórico CMC,Asignatura 9
Envejecimiento saludable,Asignatura 7
Vértigo,Asignatura 10
Pruebas diagnóstica,Asignatura 10
Taller de Historia Clínica. Grupo jueves. ,Asignatura 2
Expresando la Medicina III Grupo 1 Comunicación sin daño / Grupo 2 Compasión y vulnerabilidad,Asignatura 9
Evaluación del azucar serico,Asignatura 2
EXAMEN TEÓRICO CMC,Asignatura 9
Deficiencia de piruvato Carboxilasa ,Asignatura 4
Neumonía Adquirida en la comunidad - Pacientes pediátricos Situación integradora ,Asignatura 10
Caso 06. Neumología - NAC,Asignatura 10
Taller de miembro superior,Asignatura 9
Repaso FPC III,Asignatura 7
Supletorio II corte (Pruebas rápidas),Asignatura 7
51. Infecciones urinarias No complicadas,Asignatura 10
6-Evaluación semanal (solo SYM2),Asignatura 6
Hipovolemia,Asignatura 1
Ética médica y riesgo,Asignatura 7
Maltrato infantil - Situaciones integradoras,Asignatura 10
Usos y técnica del cateterismo vesical/tacto rectal y examen perineal,Asignatura 7
Enfermedad por reflujo gastroesofágico - Situaciones integradoras,Asignatura 10
19. Laboratorio de Microbiología - Grupo A,Asignatura 10
"67. Subcutàneas, Anaerobias",Asignatura 10
Riesgos ocupacionales,Asignatura 7
Análisis de publicidad de medicamentos,Asignatura 10
Caso 05. Cardiología - Chagas,Asignatura 10
Infección de vías urinarias,Asignatura 10
Conducta suicida,Asignatura 10
Reunión con tutores,Asignatura 3
Medula espinal configuración externa ,Asignatura 7
C-SM Taller función renal 1,Asignatura 6
C-SM Aspectos fisiopatológicos de la placenta,Asignatura 7
Vías descendentes de la medula espinal ,Asignatura 9
Tutoria 3 Semiologia Abdomen,Asignatura 10
Repaso Neuroanatomía - histología,Asignatura 9
Examen final oral,Asignatura 4
Actividad integradora  2 OJO,Asignatura 9
Introducción a paradigmas médicos,Asignatura 1
Introducción a las enfermedades no transmisibles,Asignatura 10
Caso 16. Geriatría - Infecciones atípicas,Asignatura 10
Neuroimagen,Asignatura 9
Examen final práctico CMC,Asignatura 9
Presentación  IV sem  CMC. Presentación  IV sem  FPC III,Asignatura 9
Taller de patología pulmonar ,Asignatura 1
Actividad integradora  1 DOLOR,Asignatura 9
4. EVALI,Asignatura 1
Control de la osmolaridad y el volumen de los compartimientos corporales 2,Asignatura 6
Comunicación,Asignatura 1
Prácticas 3 y 4 de fisiología cardiovascular,Asignatura 4
"Nucleótidos, vitaminas hidrosolubles y cofactores",Asignatura 1
15. Diabetes Tipo 1,Asignatura 4
Simposio bloque naranja,Asignatura 4
Métodos mixtos,Asignatura 9
Taller farmacodiamia y farmacocinética de analgésicos*,Asignatura 7
"Anatomía e histología de orbita, ojo, párpados y vías lacrimales ",Asignatura 7
Semiologia cardiaca CSC. Grupo Jueves ,Asignatura 2
Taller/laboratorio de fluidos,Asignatura 1
Segunda Evaluación Teoríca Sistemas y Metabolismo I,Asignatura 2
INDUCCIÓN GENERAL COORDINACIÓN DEL SEMESTRE,Asignatura 10
actividad integradora - Psicosis,Asignatura 9
Esferocitosis - esplenectomía,Asignatura 1
Imagenología de miembros inferiores,Asignatura 9
5. TBC,Asignatura 1
Gestación adolescente en población desplazada,Asignatura 7
Taller de imágenes,Asignatura 1
Hipovolemia,Asignatura 1
Determinacion del fenotipo celular,Asignatura 1
Tutoria 2 Semiologia Cardiovascular/Respiratorio,Asignatura 10
Intervenciones en el sistema nervioso autonomo. Modificaciones  de la función  bronquial,Asignatura 1
